Barangay ,Population (2020 census),Solid Waste Generation per capita (kg/ day),SW generation (Population x SW segregation) kg/day,Solid Waste Classification,,,,Collection Frequency,,Truck Unit & Capacity,
,,,,Residual (14%) kg/day,Biodegradable (38%) kg/day,Recyclable (50%) kg/day,Special Waste (5%),Times/Week,,38 - 16 tons,
Agusan,19039,0.42,"7,996.38","1,119.49","3,038.62","3,998.19",399.819,7 - nightly |    2 - Morning,,,
Baikingon ,2879,0.42,"1,209.18",205.56,459.49,604.59,60.459,2 - morning,,,
Balubal ,7013,0.42,"2,945.46",500.73,"1,119.27","1,472.73",147.273,2 - morning,,,
Balulang ,42205,0.42,"17,726.10","3,013.44","6,735.92","8,863.05",886.305,7 - nightly |    2 - Morning,,,
Barangay 1 ,168,0.42,70.56,12.00,26.81,35.28,3.528, 7 - nightly,,,
Barangay 2,50,0.42,21.00,3.57,7.98,10.50,1.05, 7 - nightly,,,
Barangay 3,93,0.42,39.06,6.64,14.84,19.53,1.953, 7 - nightly,,,
Barangay 4,68,0.42,28.56,4.86,10.85,14.28,1.428, 7 - nightly,,,
Barangay 5,34,0.42,14.28,2.43,5.43,7.14,0.714, 7 - nightly,,,
Barangay 6,33,0.42,13.86,2.36,5.27,6.93,0.693, 7 - nightly,,,
Barangay 7,544,0.42,228.48,38.84,86.82,114.24,11.424, 7 - nightly,,,
Barangay 8,90,0.42,37.80,6.43,14.36,18.90,1.89, 7 - nightly,,,
Barangay 9,130,0.42,54.60,9.28,20.75,27.30,2.73, 7 - nightly,,,
Barangay 10 ,557,0.42,233.94,39.77,88.90,116.97,11.697, 7 - nightly,,,
Barangay 11,162,0.42,68.04,11.57,25.86,34.02,3.402, 7 - nightly,,,
Barangay 12,257,0.42,107.94,18.35,41.02,53.97,5.397, 7 - nightly,,,
Barangay 13,965,0.42,405.30,68.90,154.01,202.65,20.265, 7 - nightly,,,
Barangay 14,351,0.42,147.42,25.06,56.02,73.71,7.371, 7 - nightly,,,
